what,kind,bundleId,bundleVersion,description,time
error,log,,,"Part already exists in page layout: org.eclipse.ui.navigator.ProjectExplorer.",1377695453677
opened,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1377695454058
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1377695454234
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.JavaPerspective",1377695454279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1377695454398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1377695454398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695470271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695476675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377695479217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377695503695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377695504004
error,log,,,"Unhandled event loop exception",1377695512868
error,log,,,"Unhandled event loop exception",1377695512884
error,log,,,"Unhandled event loop exception",1377695512892
error,log,,,"Unhandled event loop exception",1377695514752
error,log,,,"Unhandled event loop exception",1377695514894
error,log,,,"Unhandled event loop exception",1377695515177
error,log,,,"Unhandled event loop exception",1377695515264
error,log,,,"Unhandled event loop exception",1377695515906
error,log,,,"Unhandled event loop exception",1377695516395
error,log,,,"Unhandled event loop exception",1377695517188
error,log,,,"Unhandled event loop exception",1377695517448
error,log,,,"Unhandled event loop exception",1377695517661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377695520419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377695528297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377695555900
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1377695557690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377695566341
activated,editor,com.sap.ide.ui5.app.plugin,1.14.0,"com.sap.ide.ui5.app.preview.UI5ApplicationPreviewEditor",1377695568373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695570024
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1377695599248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695638112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695639725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695687778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695688379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695900679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695901330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696220456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696221084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696226074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696226736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696228431
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1377696230375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696237908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696259858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696261845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696262607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696263427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696274025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1377696292376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696296912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696313207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696320853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696321681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696331868
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1377696336863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696352511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377696373690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377696384038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377696388963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377696390155
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1377696393417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696416350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377696418429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696419635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696428784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696441601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696446064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696450745
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1377696455540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696460327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696463831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377696464784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696466042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696470898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696472708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696512669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696513928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696514826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696515678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696519904
error,log,,,"Unhandled event loop exception",1377696527136
error,log,,,"Unhandled event loop exception",1377696527142
error,log,,,"Unhandled event loop exception",1377696527161
error,log,,,"Unhandled event loop exception",1377696527385
error,log,,,"Unhandled event loop exception",1377696528529
error,log,,,"Unhandled event loop exception",1377696528686
error,log,,,"Unhandled event loop exception",1377696528844
error,log,,,"Unhandled event loop exception",1377696529007
error,log,,,"Unhandled event loop exception",1377696529205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696531743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696535402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696542820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696544117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377696565667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696566974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696573279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696576119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696579518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696579717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696580654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696581116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696581597
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1377696587853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377696591515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377696591738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696605224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377696610420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696612113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696618120
failed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696628790
error,log,,,"""Content Assist"" did not complete normally.  Please see the log for more information.",1377696628797
error,log,,,"java.lang.IllegalArgumentException",1377696628800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696628874
error,log,,,"Unhandled event loop exception",1377696628935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696633113
failed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377696636732
error,log,,,"""Content Assist"" did not complete normally.  Please see the log for more information.",1377696636734
error,log,,,"java.lang.IllegalArgumentException",1377696636736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696636769
error,log,,,"Unhandled event loop exception",1377696636824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696642299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377696648413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696648926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696719844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377696728671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696728948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696735491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696738627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377696782989
